Side|OrderID|Company|Type|Timestamp|Price|Quantity
S|1|ADORWELD|EQ|06:48:08|17.20|198
S|2|ADORWELD|EQ|06:48:09|22.20|159
B|3|ADORWELD|EQ|06:48:10|18.95|255
S|4|ADORWELD|EQ|06:48:11|19.20|309
S|5|ADORWELD|EQ|06:48:12|17.45|378
B|6|ADORWELD|EQ|06:48:13|19.20|257
S|7|ADORWELD|EQ|06:48:14|18.70|420
S|8|ADORWELD|EQ|06:48:15|17.95|48
B|9|ADORWELD|EQ|06:48:16|21.45|438
S|10|ADORWELD|EQ|06:48:17|15.20|329
B|11|ADORWELD|EQ|06:48:18|16.95|297
S|12|ADORWELD|EQ|06:48:19|20.95|358
S|13|ADORWELD|EQ|06:48:20|15.95|255
S|14|ADORWELD|EQ|06:48:21|16.70|371
S|15|ADORWELD|EQ|06:48:22|20.70|362
S|16|ADORWELD|EQ|06:48:23|20.20|180
B|17|ADORWELD|EQ|06:48:24|19.20|484
B|18|ADORWELD|EQ|06:48:25|18.70|407
S|19|ADORWELD|EQ|06:48:26|19.70|313
S|20|ADORWELD|EQ|06:48:27|15.45|223
B|21|ADORWELD|EQ|06:48:28|16.45|332
S|22|ADORWELD|EQ|06:48:29|21.95|85
S|23|ADORWELD|EQ|06:48:30|21.95|381
S|24|ADORWELD|EQ|06:48:31|20.95|377
B|25|ADORWELD|EQ|06:48:32|19.45|140
S|26|ADORWELD|EQ|06:48:33|20.45|222
S|27|ADORWELD|EQ|06:48:34|18.20|488
S|28|ADORWELD|EQ|06:48:35|15.45|364
S|29|ADORWELD|EQ|06:48:36|17.70|82
B|30|ADORWELD|EQ|06:48:37|21.95|196
S|31|ADORWELD|EQ|06:48:38|15.95|91
B|32|ADORWELD|EQ|06:48:39|19.20|318
B|33|ADORWELD|EQ|06:48:40|21.70|35
B|34|ADORWELD|EQ|06:48:41|15.70|200
S|35|ADORWELD|EQ|06:48:42|22.20|418
S|36|ADORWELD|EQ|06:48:43|16.95|121
B|37|ADORWELD|EQ|06:48:44|17.20|363
B|38|ADORWELD|EQ|06:48:45|20.70|267
S|39|ADORWELD|EQ|06:48:46|20.70|27
B|40|ADORWELD|EQ|06:48:47|21.95|286
S|41|ADORWELD|EQ|06:48:48|18.70|20
B|42|ADORWELD|EQ|06:48:49|18.20|376
S|43|ADORWELD|EQ|06:48:50|16.95|65
B|44|ADORWELD|EQ|06:48:51|17.70|487
S|45|ADORWELD|EQ|06:48:52|16.20|218
B|46|ADORWELD|EQ|06:48:53|21.70|117
B|47|ADORWELD|EQ|06:48:54|15.20|217
B|48|ADORWELD|EQ|06:48:55|15.70|149
S|49|ADORWELD|EQ|06:48:56|20.45|24
B|50|ADORWELD|EQ|06:48:57|15.45|301
S|51|ADORWELD|EQ|06:48:58|21.95|55
S|52|ADORWELD|EQ|06:48:59|16.45|469
S|53|ADORWELD|EQ|06:49:00|17.20|277
S|54|ADORWELD|EQ|06:49:01|17.70|209
B|55|ADORWELD|EQ|06:49:02|18.20|143
S|56|ADORWELD|EQ|06:49:03|20.70|70
S|57|ADORWELD|EQ|06:49:04|21.45|210
B|58|ADORWELD|EQ|06:49:05|17.95|404
S|59|ADORWELD|EQ|06:49:06|15.70|367
S|60|ADORWELD|EQ|06:49:07|15.70|329
S|61|ADORWELD|EQ|06:49:08|15.20|188
S|62|ADORWELD|EQ|06:49:09|22.20|183
S|63|ADORWELD|EQ|06:49:10|20.70|483
B|64|ADORWELD|EQ|06:49:11|20.70|476
B|65|ADORWELD|EQ|06:49:12|15.45|8
S|66|ADORWELD|EQ|06:49:13|19.20|52
S|67|ADORWELD|EQ|06:49:14|15.20|378
B|68|ADORWELD|EQ|06:49:15|20.45|199
S|69|ADORWELD|EQ|06:49:16|15.70|133
S|70|ADORWELD|EQ|06:49:17|21.70|208
B|71|ADORWELD|EQ|06:49:18|15.20|208
B|72|ADORWELD|EQ|06:49:19|22.20|208
B|73|ADORWELD|EQ|06:49:20|19.20|381
S|74|ADORWELD|EQ|06:49:21|17.95|345
B|75|ADORWELD|EQ|06:49:22|18.70|236
B|76|ADORWELD|EQ|06:49:23|20.45|123
S|77|ADORWELD|EQ|06:49:24|17.20|325
S|78|ADORWELD|EQ|06:49:25|21.70|208
S|79|ADORWELD|EQ|06:49:26|19.45|272
B|80|ADORWELD|EQ|06:49:27|19.45|188
S|81|ADORWELD|EQ|06:49:28|18.45|108
S|82|ADORWELD|EQ|06:49:29|15.20|438
S|83|ADORWELD|EQ|06:49:30|22.45|147
S|84|ADORWELD|EQ|06:49:31|15.95|158
S|85|ADORWELD|EQ|06:49:32|20.45|384
S|86|ADORWELD|EQ|06:49:33|22.45|467
S|87|ADORWELD|EQ|06:49:34|17.70|477
S|88|ADORWELD|EQ|06:49:35|20.20|123
B|89|ADORWELD|EQ|06:49:36|17.70|13
B|90|ADORWELD|EQ|06:49:37|18.20|160
S|91|ADORWELD|EQ|06:49:38|18.70|246
S|92|ADORWELD|EQ|06:49:39|20.70|456
S|93|ADORWELD|EQ|06:49:40|22.20|178
B|94|ADORWELD|EQ|06:49:41|21.20|41
S|95|ADORWELD|EQ|06:49:42|19.45|224
S|96|ADORWELD|EQ|06:49:43|18.95|235
B|97|ADORWELD|EQ|06:49:44|21.95|477
B|98|ADORWELD|EQ|06:49:45|20.95|179
B|99|ADORWELD|EQ|06:49:46|17.45|391
B|100|ADORWELD|EQ|06:49:47|19.45|246
S|101|ADORWELD|EQ|06:49:48|18.20|450
B|102|ADORWELD|EQ|06:49:49|19.20|62
S|103|ADORWELD|EQ|06:49:50|22.20|291
S|104|ADORWELD|EQ|06:49:51|21.70|367
S|105|ADORWELD|EQ|06:49:52|18.45|136
S|106|ADORWELD|EQ|06:49:53|21.45|481
B|107|ADORWELD|EQ|06:49:54|21.20|80
B|108|ADORWELD|EQ|06:49:55|15.45|54
S|109|ADORWELD|EQ|06:49:56|20.20|165
B|110|ADORWELD|EQ|06:49:57|15.70|482
S|111|ADORWELD|EQ|06:49:58|18.95|44
B|112|ADORWELD|EQ|06:49:59|16.45|311
B|113|ADORWELD|EQ|06:50:00|17.70|71
S|114|ADORWELD|EQ|06:50:01|18.95|120
B|115|ADORWELD|EQ|06:50:02|20.45|465
S|116|ADORWELD|EQ|06:50:03|20.45|491
B|117|ADORWELD|EQ|06:50:04|22.20|367
S|118|ADORWELD|EQ|06:50:05|18.45|218
B|119|ADORWELD|EQ|06:50:06|21.70|18
S|120|ADORWELD|EQ|06:50:07|15.70|132
S|121|ADORWELD|EQ|06:50:08|20.45|367
S|122|ADORWELD|EQ|06:50:09|22.45|172
S|123|ADORWELD|EQ|06:50:10|17.95|355
B|124|ADORWELD|EQ|06:50:11|21.20|92
S|125|ADORWELD|EQ|06:50:12|16.20|423
S|126|ADORWELD|EQ|06:50:13|20.20|277
S|127|ADORWELD|EQ|06:50:14|19.70|35
B|128|ADORWELD|EQ|06:50:15|21.45|230
S|129|ADORWELD|EQ|06:50:16|20.20|336
S|130|ADORWELD|EQ|06:50:17|21.95|449
S|131|ADORWELD|EQ|06:50:18|17.45|312
S|132|ADORWELD|EQ|06:50:19|21.45|24
S|133|ADORWELD|EQ|06:50:20|20.95|497
B|134|ADORWELD|EQ|06:50:21|21.20|21
B|135|ADORWELD|EQ|06:50:22|15.45|168
B|136|ADORWELD|EQ|06:50:23|16.45|368
B|137|ADORWELD|EQ|06:50:24|15.45|158
S|138|ADORWELD|EQ|06:50:25|20.45|265
S|139|ADORWELD|EQ|06:50:26|18.20|95
